statefip,puma,mpop2000,pumapop2000,mpopshare2000,metropuma03,mpop2010,pumapop2010,mpopshare2010,metropuma13
8,816,115046,115046,1,1,119271,119271,1,1
8,817,110831,110831,1,1,112651,112651,1,1
8,818,119783,119783,1,1,116177,116177,1,1
8,819,135303,135303,1,1,138358,138358,1,1
8,820,104700,104700,1,1,103909,103909,1,1
8,821,98139,98139,1,1,122537,122537,1,1
8,822,52759,52759,1,1,102075,102075,1,1
8,823,67037,67037,1,1,110107,110107,1,1
8,824,54843,54843,1,1,101546,101546,1,1
8,900,0,94817,0,0,0,107883,0,0
8,1001,101850,101850,1,1,128898,128898,1,1
8,1002,14405,86007,0.1674901,0,17825,101848,0.1750157,0
8,4101,85156,85156,1,1,111548,111548,1,1
8,4102,107492,107492,1,1,107035,107035,1,1
8,4103,104213,104213,1,1,102746,102746,1,1
8,4104,70723,70723,1,1,108283,108283,1,1
8,4105,102554,102554,1,1,109521,109521,1,1
8,4106,67343,67343,1,1,106480,106480,1,1
9,100,158281,158281,1,1,167187,167187,1,1
9,101,111638,111638,1,1,114873,114873,1,1
9,102,178204,178204,1,1,183814,183814,1,1
9,103,128320,128320,1,1,132726,132726,1,1
9,104,139529,139529,1,1,144229,144229,1,1
9,105,166596,166596,1,1,174000,174000,1,1
9,300,150372,150372,1,1,157346,157346,1,1
9,301,104315,104315,1,1,109493,109493,1,1
9,302,121560,121560,1,1,124775,124775,1,1
9,303,154730,154730,1,1,160995,160995,1,1
9,304,108105,108105,1,1,112847,112847,1,1
9,305,106968,106968,1,1,110788,110788,1,1
9,306,111134,111134,1,1,117770,117770,1,1
9,500,0,182198,0,0,0,189927,0,0
9,700,155071,155071,1,1,165676,165676,1,1
9,900,123633,123633,1,1,133419,133419,1,1
9,901,107279,107279,1,1,110366,110366,1,1
9,902,124204,124204,1,1,130096,130096,1,1
9,903,117312,117312,1,1,124204,124204,1,1
9,904,117898,117898,1,1,122279,122279,1,1
9,905,123644,123644,1,1,129779,129779,1,1
9,906,110033,110033,1,1,112334,112334,1,1
9,1100,128812,128812,1,1,139086,139086,1,1
9,1101,130276,130276,1,1,134969,134969,1,1
9,1300,138469,138469,1,1,152691,152691,1,1
9,1500,0,109091,0,0,118428,118428,1,1
10,101,109976,109976,1,1,108214,108214,1,1
10,102,146279,146279,1,1,145071,145071,1,1
10,103,141719,141719,1,1,144597,144597,1,1
10,104,102291,102291,1,1,140597,140597,1,1
10,200,126697,126697,1,1,162310,162310,1,1
10,300,0,156638,0,0,197145,197145,1,1
11,101,101578,101578,1,1,106024,106024,1,1
11,102,110370,110370,1,1,112600,112600,1,1
11,103,99750,99750,1,1,103901,103901,1,1
11,104,139614,139614,1,1,140006,140006,1,1
11,105,120747,120747,1,1,139192,139192,1,1
12,101,133781,133781,1,1,142345,142345,1,1
12,102,84174,84174,1,1,104991,104991,1,1
12,500,148217,228355,0.6490639,1,223895,268718,0.8331969,1
12,901,155942,155942,1,1,183425,183425,1,1
12,902,118564,118564,1,1,115817,115817,1,1
12,903,100777,100777,1,1,116283,116283,1,1
12,904,100947,100947,1,1,127851,127851,1,1
12,1101,132561,132561,1,1,144209,144209,1,1
12,1102,99173,99173,1,1,108754,108754,1,1
12,1103,101482,101482,1,1,101332,101332,1,1
12,1104,118493,118493,1,1,117990,117990,1,1
12,1105,164987,164987,1,1,168134,168134,1,1
12,1106,165093,165093,1,1,165230,165230,1,1
12,1107,97994,97994,1,1,100306,100306,1,1
12,1108,139649,139649,1,1,138155,138155,1,1
12,1109,96728,96728,1,1,101245,101245,1,1
12,1110,102916,102916,1,1,112759,112759,1,1
12,1111,109509,109509,1,1,133224,133224,1,1
12,1112,78154,78154,1,1,128559,128559,1,1
12,1113,113414,113414,1,1,117196,117196,1,1
12,1114,102863,102863,1,1,110973,110973,1,1
12,1500,141615,141615,1,1,159978,159978,1,1
12,1701,0,118086,0,0,141236,141236,1,1
12,1900,140814,140814,1,1,190865,190865,1,1
12,2101,74249,74249,1,1,104015,104015,1,1
12,2102,100656,100656,1,1,108892,108892,1,1
12,2103,76471,76471,1,1,108613,108613,1,1
12,2300,14437,158757,0.0909377,0,16939,185748,0.0911934,0
12,2700,0,136605,0,0,87912,150505,0.5841135,1
12,3101,79217,79217,1,1,117975,117975,1,1
12,3102,128888,128888,1,1,118733,118733,1,1
12,3103,103003,103003,1,1,102549,102549,1,1
12,3104,124697,124697,1,1,131674,131674,1,1
12,3105,88056,88056,1,1,123350,123350,1,1
12,3106,109572,109572,1,1,113789,113789,1,1
12,3107,145446,145446,1,1,156193,156193,1,1
12,3301,101357,101357,1,1,110392,110392,1,1
12,3302,193053,193053,1,1,187227,187227,1,1
12,3500,4866,54698,0.0889612,0,102614,102614,1,1
12,5301,130801,130801,1,1,172778,172778,1,1
12,5701,138437,138437,1,1,139898,139898,1,1
12,5702,149392,149392,1,1,156280,156280,1,1
